TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
CSRN5;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Utilidade Pública;Energia Elétrica;2.21;0.95;0.97;22.4;9.87;4.24;4.33
CSRN6;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Utilidade Pública;Energia Elétrica;2.21;0.93;0.88;22;10.05;4.23;4.0
CTKA3;KARSTEN S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;27.5;0.0;0.0;0.0
CTKA4;KARSTEN S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;11.55;0.0;0.0;0.0
CTNM3;CIA TECIDOS NORTE DE MINAS COTEMINAS;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;8.99;0.0;0.0;0.0
CTNM4;CIA TECIDOS NORTE DE MINAS COTEMINAS;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;2.53;0.0;0.0;0.0
CTSA3;CIA TECIDOS SANTANENSE;Consumo Cíclico;Fios e Tecidos;0;0.3;0.1;1.7;0.0;17.65;5.88
CTSA4;CIA TECIDOS SANTANENSE;Consumo Cíclico;Fios e Tecidos;0;0.16;0.07;0.85;0.0;18.82;8.24
CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.;Consumo Cíclico;Incorporações;0.57;0.06;0.0;6.12;9.31;0.98;0.0
CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Consumo Cíclico;Viagens e Turismo;0;0.28;0.3;9.3;0.0;3.01;3.23
CXSE3;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;Financeiro;Seguradoras;0.24;0.02;0.0;7.13;3.37;0.28;0.0
CYRE3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Consumo Cíclico;Incorporações;1.09;0.76;0.4;12.19;8.94;6.23;3.28
DASA3;DIAGNOSTICOS DA AMERICA S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;0.59;0.23;0.09;17.77;3.32;1.29;0.51
DIRR3;DIRECIONAL ENGENHARIA S.A.;Consumo Cíclico;Incorporações;0.69;0.5;0.53;9.86;7.0;5.07;5.38
DMMO3;DOMMO ENERGIA S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0;0.0;0.0;1.52;0.0;0.0;0.0
DOHL3;DOHLER S.A.;Consumo Cíclico;Fios e Tecidos;0.19;0.09;0.04;19;1.0;0.47;0.21
DOHL4;DOHLER S.A.;Consumo Cíclico;Fios e Tecidos;0.2;0.17;0.18;5.95;3.36;2.86;3.03
DTCY3;DTCOM - DIRECT TO COMPANY S.A.;Bens Industriais;Serviços Diversos;0;0.0;0.0;7.85;0.0;0.0;0.0
EALT3;ELECTRO ACO ALTONA S.A.;Bens Industriais;Máq. e Equip. Industriais;0.28;0.33;0.19;9.1;3.08;3.63;2.09
EALT4;ELECTRO ACO ALTONA S.A.;Bens Industriais;Máq. e Equip. Industriais;0.31;0.4;0.25;7.13;4.35;5.61;3.51
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Bens Industriais;Exploração de Rodovias;0;0.48;0.39;6.74;0.0;7.12;5.79
ECPR3;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;Consumo Cíclico;Fios e Tecidos;0;3.17;0.0;90.25;0.0;3.51;0.0
ECPR4;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;Consumo Cíclico;Fios e Tecidos;0;1.14;0.0;90.74;0.0;1.26;0.0
EEEL3;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;Utilidade Pública;Energia Elétrica;30.78;10.58;6.66;421.01;7.31;2.51;1.58
EEEL4;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;Utilidade Pública;Energia Elétrica;33.86;10.05;7.32;410;8.26;2.45;1.79
EGIE3;ENGIE BRASIL ENERGIA S.A.;Utilidade Pública;Energia Elétrica;2.77;2.28;2.27;40.92;6.77;5.57;5.55
EKTR3;ELEKTRO REDES S.A.;Utilidade Pública;Energia Elétrica;3.03;1.4;1.36;30;10.1;4.67;4.53
EKTR4;ELEKTRO REDES S.A.;Utilidade Pública;Energia Elétrica;3.34;1.55;1.32;27.08;12.33;5.72;4.87
ELET3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica;2.39;0.85;0.41;41;5.83;2.07;1.0
ELET5;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica;3.12;1.63;2.03;64.5;4.84;2.53;3.15
ELET6;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica;2.62;1.45;1.63;39.7;6.6;3.65;4.11
EMAE3;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Utilidade Pública;Energia Elétrica;7.35;0.93;0.0;26.01;28.26;3.58;0.0
EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Utilidade Pública;Energia Elétrica;8.08;1.24;0.3;35;23.09;3.54;0.86
EMBR3;EMBRAER S.A.;Bens Industriais;Material Aeronáutico e de Defesa;0;0.15;0.16;12.05;0.0;1.24;1.33
ENAT3;ENAUTA PARTICIPAÇÕES S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0.19;0.71;0.15;20.25;0.94;3.51;0.74
ENBR3;EDP - ENERGIAS DO BRASIL S.A.;Utilidade Pública;Energia Elétrica;1.0;0.67;0.68;20.47;4.89;3.27;3.32
ENEV3;ENEVA S.A;Utilidade Pública;Energia Elétrica;0.0;0.0;0.0;14.37;0.0;0.0;0.0
ENGI3;ENERGISA S.A.;Utilidade Pública;Energia Elétrica;0.35;0.17;0.15;13.36;2.62;1.27;1.12
ENGI4;ENERGISA S.A.;Utilidade Pública;Energia Elétrica;0.35;0.18;0.15;7.35;4.76;2.45;2.04
ENMT3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilidade Pública;Energia Elétrica;5.49;0.89;0.0;83.58;6.57;1.06;0.0
ENMT4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilidade Pública;Energia Elétrica;4.92;0.92;0.17;83.59;5.89;1.1;0.2
EQMA3B;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica;2.56;0.55;0.0;38.1;6.72;1.44;0.0
EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.41;0.09;0.03;5;8.2;1.8;0.6
EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.41;0.09;0.05;6.7;6.12;1.34;0.75
EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.41;0.1;0.07;10.69;3.84;0.94;0.65
EQPA7;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.41;0.09;0.04;6.62;6.19;1.36;0.6
