TICKET;EMPRESA;SETOR;SEGMENTO
GOLL4;GOL LINHAS AEREAS INTELIGENTES S.A.;Bens Industriais;Transporte Aéreo
GPAR3;CIA CELG DE PARTICIPACOES - CELGPAR;Utilidade Pública;Energia Elétrica
GPIV33;GP INVESTMENTS. LTD.;Financeiro;Gestão de Recursos e Investimentos
GRND3;GRENDENE S.A.;Consumo Cíclico;Calçados
GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;Financeiro;Exploração de Imóveis
GUAR3;GUARARAPES CONFECCOES S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
HAGA3;HAGA S.A. INDUSTRIA E COMERCIO;Bens Industriais;Produtos para Construção
HAGA4;HAGA S.A. INDUSTRIA E COMERCIO;Bens Industriais;Produtos para Construção
HBOR3;HELBOR EMPREENDIMENTOS S.A.;Consumo Cíclico;Incorporações
HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A;Financeiro;Exploração de Imóveis
HBSA3;HIDROVIAS DO BRASIL S.A.;Bens Industriais;Transporte Hidroviário
HBTS5;CIA HABITASUL DE PARTICIPACOES;Financeiro;Exploração de Imóveis
HETA3;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos
HETA4;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos
HOOT4;HOTEIS OTHON S.A.;Consumo Cíclico;Hotelaria
HYPE3;HYPERA S.A.;Saúde;Medicamentos e Outros Produtos
IFCM3;INFRACOMMERCE CXAAS S.A.;Tecnologia da Informação;Programas e Serviços
IGBR3;IGB ELETRÔNICA S/A;Financeiro;Exploração de Imóveis
INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais
INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais
INTB3;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;Tecnologia da Informação;Computadores e Equipamentos
IRBR3;IRB - BRASIL RESSEGUROS S.A.;Financeiro;Seguradoras
ITSA3;ITAUSA S.A.;Financeiro;Bancos
ITSA4;ITAUSA S.A.;Financeiro;Bancos
ITUB3;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos
ITUB4;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos
JALL3;JALLES MACHADO S.A.;Consumo não Cíclico;Açucar e Alcool
JBSS3;JBS S.A.;Consumo não Cíclico;Carnes e Derivados
JFEN3;JOAO FORTES ENGENHARIA S.A.;Consumo Cíclico;Incorporações
JHSF3;JHSF PARTICIPACOES S.A.;Consumo Cíclico;Incorporações
JOPA3;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos
JOPA4;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos
JSLG3;JSL S.A.;Bens Industriais;Transporte Rodoviário
KEPL3;KEPLER WEBER S.A.;Bens Industriais;Máq. e Equip. Industriais
KLBN11;KLABIN S.A.;Materiais Básicos;Papel e Celulose
KLBN3;KLABIN S.A.;Materiais Básicos;Papel e Celulose
KLBN4;KLABIN S.A.;Materiais Básicos;Papel e Celulose
LCAM3;CIA LOCAÇÃO DAS AMÉRICAS;Consumo Cíclico;Aluguel de carros
LEVE3;MAHLE-METAL LEVE S.A.;Consumo Cíclico;Automóveis e Motocicletas
LIGT3;LIGHT S.A.;Utilidade Pública;Energia Elétrica
LIPR3;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Utilidade Pública;Energia Elétrica
LJQQ3;LOJAS QUERO-QUERO S/A;Consumo Cíclico;Produtos Diversos
LLIS3;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
LOGG3;LOG COMMERCIAL PROPERTIES;Financeiro;Exploração de Imóveis
LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.;Bens Industriais;Transporte Hidroviário
LPSB3;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Financeiro;Intermediação Imobiliária
LREN3;LOJAS RENNER S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
LUPA3;LUPATECH S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
